STT,Tên đầy đủ,Mã chứng khoán,Sàn niêm yết
346,CÔNG TY CỔ PHẦN THÀNH THÀNH CÔNG - BIÊN HÒA,SBT,HOSE
347,CTCP Cáp treo Núi Bà Tây Ninh,TCT,HOSE
348,CTCP Đầu tư và Sản xuất Petro Miền Trung,PMG,HOSE
349,CTCP Xây dựng 47,C47,HOSE
350,Công ty cổ phần Cảng Quy Nhơn,QNP,HOSE
351,CTCP Phú Tài,PTB,HOSE
352,CTCP Dược - Trang Thiết Bị Y Tế Bình Định,DBD,HOSE
353,CTCP Khoáng sản Bình Định,BMC,HOSE
354,CTCP Thủy điện Vĩnh Sơn-Sông Hinh,VSH,HOSE
355,CTCP Bia Sài Gòn - Miền Trung,SMB,HOSE
356,CÔNG TY CỔ PHẦN VINPEARL,VPL,HOSE
357,CTCP Điện lực Khánh Hòa,KHP,HOSE
358,Tổng CTCP Bảo hiểm Quân đội,MIG,HOSE
359,CTCP Lọc hóa dầu Bình Sơn,BSR,HOSE
360,Công ty cổ phần thương mại & khai thác khoáng sản Dương Hiếu,DHM,HOSE
361,CTCP Tập đoàn Khách sạn Đông Á,DAH,HOSE
362,CTCP Tập đoàn bệnh viện TNH,TNH,HOSE
363,CTCP Thủy điện Thác Bà,TBC,HOSE
364,CTCP AN TIẾN INDUSTRIES,HII,HOSE
365,CTCP Khoáng sản Công nghiệp Yên Bái,YBM,HOSE
366,Công ty cổ phần Lilama 10,L10,HOSE
367,Công ty CP Giống bò sữa Mộc Châu,MCM,HOSE
368,Công ty cổ phần Chế biến Nông sản Hồng Hà Sơn La,HSL,HOSE
369,CTY CỔ PHẦN KHOÁNG SẢN VÀ VẬT LIỆU XÂY DỰNG LÂM ĐỒNG,LBM,HOSE
370,CTCP Điện Gia Lai,GEG,HOSE
371,CTCP Hoàng Anh Gia Lai,HAG,HOSE
372,CTCP Quốc Cường Gia Lai,QCG,HOSE
373,CTCP Thủy điện Sê San 4A,S4A,HOSE
374,CTCP Tập đoàn Đức Long Gia Lai,DLG,HOSE
375,CTCP Nông nghiệp Quốc tế Hoàng Anh Gia Lai,HNG,HOSE
376,CTCP Đầu tư năng lượng Trường Thịnh,TTE,HOSE
377,Ngân hàng TMCP Bưu điện Liên Việt,LPB,HOSE
378,CTCP Thương mại Đầu tư Dầu khí Nam Sông Hậu,PSH,HOSE
379,Tổng Công Ty Cổ phần Bảo hiểm Petrolimex,PGI,HOSE
